KO	feature	MI	name
K00561	K03771	0.0084492413541891	surA; peptidyl-prolyl cis-trans isomerase SurA [EC:5.2.1.8]
K00561	mobileOG_000301711	0.0080871125057128	fhuE
K00561	K06940	0.0077168469680578	K06940; uncharacterized protein
K00561	K00027	0.0076825759061395	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00561	K23265	0.0076608088105373	purQ; phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2]
K00561	mobileOG_000038959	0.0075826895094296	clpS
K00561	K01480	0.0074930921611638	speB; agmatinase [EC:3.5.3.11]
K00561	K02049	0.0074737162142652	ABC.SN.A; NitT/TauT family transport system ATP-binding protein
K00561	K03770	0.0074359961886014	ppiD; peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]
K00561	K03089	0.007382189724792	rpoH; RNA polymerase sigma-32 factor
K00561	mobileOG_000021898	0.0073622999423945	clpA
K00561	K00140	0.0073527296882491	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K00561	mobileOG_000778060	0.0072553486221628	parC
K00561	K02523	0.007244201429718	ispB; octaprenyl-diphosphate synthase [EC:2.5.1.90]
K00561	K00748	0.0072042273534589	lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]
K00561	K07115	0.0071295372305386	rlmJ; 23S rRNA (adenine2030-N6)-methyltransferase [EC:2.1.1.266]
K00561	K07183	0.0070855068736126	nasT; two-component system, response regulator / RNA-binding antiterminator
K00561	K02025	0.0070837231071636	ABC.MS.P; multiple sugar transport system permease protein
K00561	K00412	0.0070694914189537	CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit
K00561	K07010	0.0070607778619281	K07010; putative glutamine amidotransferase
K00561	K13598	0.007060237741283	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]
K00561	K00757	0.0070492012725998	udp, UPP; uridine phosphorylase [EC:2.4.2.3]
K00561	K03559	0.0070365446347895	exbD; biopolymer transport protein ExbD
K00561	K17230	0.0070338359362394	fccA; cytochrome subunit of sulfide dehydrogenase
K00561	K01005	0.0069963730135079	tagT_U_V; polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase [EC:2.7.8.-]
K00561	K08281	0.0069921237308041	pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]
K00561	K01627	0.0069876564664376	kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]
K00561	K07030	0.006974224687142	K07030; uncharacterized protein
K00561	K08305	0.0069600157358739	mltB; membrane-bound lytic murein transglycosylase B [EC:4.2.2.-]
K00561	K03562	0.0069485274285313	tolQ; biopolymer transport protein TolQ
K00561	K00684	0.0068960152521736	aat; leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]
K00561	K07126	0.0068958815808242	K07126; uncharacterized protein
K00561	K02386	0.0068767645005947	flgA; flagella basal body P-ring formation protein FlgA
K00561	K00979	0.0068733824714807	kdsB; 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]
K00561	mobileOG_000777978	0.0068698702737438	korSA
K00561	mobileOG_000332073	0.0068646648242987	dnaQ
K00561	K07390	0.006844875946026	grxD, GLRX5; monothiol glutaredoxin
K00561	K01760	0.0068359096427986	metC; cysteine-S-conjugate beta-lyase [EC:4.4.1.13]
K00561	mobileOG_000057598	0.0068337222699632	pcrA
K00561	K01912	0.0068295416256312	paaK; phenylacetate-CoA ligase [EC:6.2.1.30]
K00561	K03408	0.0068229823111667	cheW; purine-binding chemotaxis protein CheW
K00561	K08973	0.0067948027780387	hemJ; protoporphyrinogen IX oxidase [EC:1.3.99.-]
K00561	K21420	0.006788314851637	bpt; leucyl-tRNA---protein transferase [EC:2.3.2.29]
K00561	K00413	0.0067837363553314	CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit
K00561	K06867	0.0067773324787026	K06867; uncharacterized protein
K00561	K03640	0.0067720712878105	pal; peptidoglycan-associated lipoprotein
K00561	K05349	0.0067641083080074	bglX; beta-glucosidase [EC:3.2.1.21]
K00561	K09774	0.0067548986135764	lptA; lipopolysaccharide export system protein LptA
K00561	K02394	0.0067508930099958	flgI; flagellar P-ring protein precursor FlgI
K00561	K00677	0.0067454274096251	lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]
