genome	Alert Level	#genes in repr. genome	probability	domain	phylum	class	order	family	genus	species
RS_GCF_000024805.1	0		0.006617459805196	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__Haliangium	s__Haliangium ochraceum
GB_GCA_011526095.1	0		0.0115073644116583	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__WYBA01	s__WYBA01 sp011526095
GB_GCA_003696105.1	0		0.0066839811957199	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__J016	g__J016	s__J016 sp003696105
RS_GCF_000737335.2	0		0.0112311192560012	d__Bacteria	p__Myxococcota	c__Polyangia	o__Nannocystales	f__Nannocystaceae	g__Enhygromyxa	s__Enhygromyxa salina_C
RS_GCF_002994635.1	0		0.0093990104668905	d__Bacteria	p__Myxococcota	c__Polyangia	o__Nannocystales	f__Nannocystaceae	g__Enhygromyxa	s__Enhygromyxa salina_B
RS_GCF_002994615.1	0		0.0088596969885121	d__Bacteria	p__Myxococcota	c__Polyangia	o__Nannocystales	f__Nannocystaceae	g__Enhygromyxa	s__Enhygromyxa salina_A
RS_GCF_000170895.1	0		0.0144718655518937	d__Bacteria	p__Myxococcota	c__Polyangia	o__Nannocystales	f__Nannocystaceae	g__Plesiocystis	s__Plesiocystis pacifica
RS_GCF_002343915.1	0		0.0095267620489307	d__Bacteria	p__Myxococcota	c__Polyangia	o__Nannocystales	f__Nannocystaceae	g__Nannocystis	s__Nannocystis exedens
GB_GCA_001464385.1	0		0.0157684986644861	d__Bacteria	p__Myxococcota	c__Polyangia	o__Nannocystales	f__Nannocystaceae	g__Ga0077550	s__Ga0077550 sp001464385
RS_GCF_005144585.1	0		0.0105109865271107	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Polyangium	s__Polyangium fumosum
RS_GCF_009649845.1	0		0.0085128389791282	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Polyangium	s__Polyangium spumosum
RS_GCF_005144635.1	0		0.009421844553184	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Polyangium	s__Polyangium sp005144635
GB_GCA_004297725.1	0		0.0048975685503706	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Ga0077539	g__SCUS01	s__SCUS01 sp004297725
GB_GCA_002320815.1	0		0.0107905591013029	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__SG8-38	g__UBA1660	s__UBA1660 sp002320815
GB_GCA_002699025.1	0		0.0085591103940259	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__SG8-38	g__GCA-2699025	s__GCA-2699025 sp002699025
RS_GCF_000737325.1	0		0.0098986692375872	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Sandaracinaceae	g__Sandaracinus	s__Sandaracinus amylolyticus
RS_GCF_000013385.1	0		0.0104776648228206	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__Anaeromyxobacter	s__Anaeromyxobacter dehalogenans_B
RS_GCF_000964525.1	0		0.0106433343969616	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__Anaeromyxobacter	s__Anaeromyxobacter sp000964525
RS_GCF_000022145.1	0		0.0102514031732251	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__Anaeromyxobacter	s__Anaeromyxobacter dehalogenans
RS_GCF_000017505.1	0		0.0132984570054626	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__Anaeromyxobacter	s__Anaeromyxobacter sp000017505
RS_GCF_013340205.1	0		0.0070089545973971	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__R267	s__R267 sp013340205
GB_GCA_903874275.1	0		0.0051690312023646	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__CAIOAK01	s__CAIOAK01 sp903874275
GB_GCA_903904005.1	0		0.005182582538391	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__CAIOAK01	s__CAIOAK01 sp903904005
GB_GCA_903855945.1	0		0.0052912071126767	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__CAIOAK01	s__CAIOAK01 sp903855945
RS_GCF_013116825.1	0		0.0149189447140585	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Myxococcus	s__Myxococcus xanthus_B
RS_GCF_900101905.1	0		0.0128595513420383	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Myxococcus	s__Myxococcus virescens
RS_GCF_900106535.1	0		0.011906949833206	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Myxococcus	s__Myxococcus xanthus
RS_GCF_010998615.1	0		0.0144089566823628	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Myxococcus	s__Myxococcus sp010998615
RS_GCF_006402735.1	0		0.0144130619320876	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Myxococcus	s__Myxococcus xanthus_A
RS_GCF_013372585.1	0		0.0092974955723305	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Myxococcus	s__Myxococcus sp013372585
RS_GCF_002305895.1	0		0.0087112051708971	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Myxococcus	s__Myxococcus macrosporus
RS_GCF_000280925.3	0		0.0124865593701613	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Myxococcus	s__Myxococcus hansupus
GB_GCA_014656495.1	0		0.0125829111051175							
RS_GCF_010894405.1	0		0.0110914234935074	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Myxococcus	s__Myxococcus caerfyrddinensis
RS_GCF_010894435.1	0		0.0103242274069833	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Myxococcus	s__Myxococcus trucidator
RS_GCF_012933655.1	0		0.0116311411487503	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Myxococcus	s__Myxococcus fallax
RS_GCF_000331735.1	0		0.007293898549529	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Myxococcus	s__Myxococcus stipitatus
RS_GCF_900111765.1	0		0.0082333205854497	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Myxococcus	s__Myxococcus fulvus
RS_GCF_010894455.1	0		0.0083291837249406	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Myxococcus	s__Myxococcus eversor
RS_GCF_013336725.1	0		0.0086205103513271	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Myxococcus	s__Myxococcus sp013336725
RS_GCF_000255295.1	0		0.0113297235382901	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Corallococcus	s__Corallococcus coralloides
RS_GCF_009909105.1	0		0.0117222475219286	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Corallococcus	s__Corallococcus exiguus
