genome	Alert Level	#genes in repr. genome	probability	domain	phylum	class	order	family	genus	species
RS_GCF_000024805.1	0		0.0202004853930333	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__Haliangium	s__Haliangium ochraceum
GB_GCA_011526095.1	0		0.0644970423553919	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__WYBA01	s__WYBA01 sp011526095
GB_GCA_003696105.1	0		0.0502544490264884	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__J016	g__J016	s__J016 sp003696105
RS_GCF_000737335.2	0		0.0142902912135213	d__Bacteria	p__Myxococcota	c__Polyangia	o__Nannocystales	f__Nannocystaceae	g__Enhygromyxa	s__Enhygromyxa salina_C
RS_GCF_002994635.1	0		0.0136731718634261	d__Bacteria	p__Myxococcota	c__Polyangia	o__Nannocystales	f__Nannocystaceae	g__Enhygromyxa	s__Enhygromyxa salina_B
RS_GCF_002994615.1	0		0.0128659217429416	d__Bacteria	p__Myxococcota	c__Polyangia	o__Nannocystales	f__Nannocystaceae	g__Enhygromyxa	s__Enhygromyxa salina_A
RS_GCF_000170895.1	0		0.0151478820897279	d__Bacteria	p__Myxococcota	c__Polyangia	o__Nannocystales	f__Nannocystaceae	g__Plesiocystis	s__Plesiocystis pacifica
RS_GCF_002343915.1	0		0.020629463085671	d__Bacteria	p__Myxococcota	c__Polyangia	o__Nannocystales	f__Nannocystaceae	g__Nannocystis	s__Nannocystis exedens
GB_GCA_001464385.1	0		0.0638155989382598	d__Bacteria	p__Myxococcota	c__Polyangia	o__Nannocystales	f__Nannocystaceae	g__Ga0077550	s__Ga0077550 sp001464385
RS_GCF_005144585.1	0		0.0216486670603062	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Polyangium	s__Polyangium fumosum
RS_GCF_009649845.1	0		0.018763850845913	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Polyangium	s__Polyangium spumosum
RS_GCF_005144635.1	0		0.0159122471189955	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Polyangium	s__Polyangium sp005144635
GB_GCA_004297725.1	0		0.0349348678732136	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Ga0077539	g__SCUS01	s__SCUS01 sp004297725
GB_GCA_002320815.1	0		0.0177032103026755	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__SG8-38	g__UBA1660	s__UBA1660 sp002320815
GB_GCA_002699025.1	0		0.0145504191413585	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__SG8-38	g__GCA-2699025	s__GCA-2699025 sp002699025
RS_GCF_000737325.1	0		0.0250765395516344	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Sandaracinaceae	g__Sandaracinus	s__Sandaracinus amylolyticus
RS_GCF_000013385.1	0		0.0799819093715279	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__Anaeromyxobacter	s__Anaeromyxobacter dehalogenans_B
RS_GCF_000964525.1	0		0.0510199254253294	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__Anaeromyxobacter	s__Anaeromyxobacter sp000964525
RS_GCF_000022145.1	0		0.0672060662264235	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__Anaeromyxobacter	s__Anaeromyxobacter dehalogenans
RS_GCF_000017505.1	0		0.0232042114956711	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__Anaeromyxobacter	s__Anaeromyxobacter sp000017505
RS_GCF_013340205.1	0		0.0654971866586388	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__R267	s__R267 sp013340205
