ARG	feature	score_RF	score_Odds
K03739	K00003	0.0006135224779741	-0.1522185190110116
K03739	K00016	0.0006042333369931	0.4453682447565075
K03739	K00019	0.0005261013347601	-0.36019391848776
K03739	K00023	0.0003830987481967	-0.5338632661584561
K03739	K00029	0.000578554846937	-0.2038376146440072
K03739	K00033	0.0006432121374644	0.074632912705829
K03739	K00064	0.0007245927057682	-0.6006681480711927
K03739	K00078	0.000942635257495	-0.247825001360696
K03739	K00091	0.0007432515191926	-0.0709457637456332
K03739	K00097	0.0002403143095228	-0.2543970581179676
K03739	K00108	0.0014074219296317	-0.4110285838283801
K03739	K00113	0.0021280573562006	0.2558878369349753
K03739	K00116	0.0004751021751181	0.2546998674049708
K03739	K00121	0.0003522412565506	-0.2650366320059505
K03739	K00127	0.0008432452072716	0.1961452267829265
K03739	K00138	0.0015034451299957	-0.1295817732178132
K03739	K00140	0.0013678939235498	-0.0248612758644316
K03739	K00147	0.00057304049695	-0.1104111494898748
K03739	K00154	0.0006501301130645	-0.6778597460947217
K03739	K00161	0.0006180828040865	-0.3374401570330966
K03739	K00162	0.0005163074957421	-0.3116654759159321
K03739	K00163	0.0004501557350605	-0.3213332462745167
K03739	K00208	0.0016729845799979	0.289672821059648
K03739	K00228	0.0020750243022533	-0.3943930241854292
K03739	K00239	0.0004245827062433	-0.2504541737016058
K03739	K00241	0.0004006904161901	-0.2088695880311521
K03739	K00242	0.0006154387104635	-0.4078233159824123
K03739	K00243	0.0007512795099842	0.3198975438142381
K03739	K00248	0.0015084394518616	0.2963031205353921
K03739	K00252	0.0097617110681015	-0.8450732373596583
K03739	K00263	0.0001485216545109	0.0784396625549616
K03739	K00274	0.0002348248194552	-0.2051561472215239
K03739	K00281	0.0005568216149489	-0.3867874295026304
K03739	K00283	0.0007801430043339	0.4032893363861325
K03739	K00285	0.0005749550860716	-0.214161131947234
K03739	K00287	0.0005288152964787	0.1910285470931068
K03739	K00303	0.00061705899012	-0.5137690994392035
K03739	K00311	0.0008136678821421	-0.6246285515235289
K03739	K00318	0.0006283211079133	0.217402372220624
K03739	K00322	6.167339794135358e-05	0.0245193561358981
K03739	K00324	0.0002920772038722	-0.271115716884015
K03739	K00325	0.0002673049050678	-0.2624696551021346
K03739	K00332	0.0003212990973729	-0.3511599222287341
K03739	K00333	0.0006217821247263	-0.2062111354643778
K03739	K00335	0.0006872030988101	0.0078668453390741
K03739	K00342	0.0004869789418483	-0.2968387304928346
K03739	K00348	0.0002475928226023	-0.0769657550134525
K03739	K00349	0.000288778149594	-0.0768302540940568
K03739	K00350	0.0001663750695969	-0.0709987409578538
K03739	K00362	0.0005940560382612	-0.2157847074207576
K03739	K00363	0.0003992353677768	-0.1302613406303684
K03739	K00375	0.0015222929513687	0.2961613396867024
K03739	K00380	0.0007184811238466	0.3550254498604396
K03739	K00392	0.0015313106177597	-0.7205605973314453
K03739	K00405	0.0011531773317452	-0.712486821170607
K03739	K00411	0.0025892847282628	-0.7508273961521236
K03739	K00412	0.0024215168742475	-0.6901199956720208
K03739	K00424	0.0001039373449383	0.097510184834124
K03739	K00446	0.0004344758848715	-0.1435899308424594
K03739	K00448	0.0003363568677598	-0.5156849229564237
K03739	K00449	0.0006757008937687	-0.576372933269153
K03739	K00457	0.0026476279720165	-0.6253280069253468
K03739	K00481	0.0007202162973517	-0.6025197110725281
K03739	K00528	0.0018048828843222	-0.4435934446054627
K03739	K00540	0.0002184275250105	0.0497968836413319
K03739	K00563	0.0003102197928491	0.2037335459424218
K03739	K00564	0.0002400197793721	0.0680977158311856
K03739	K00568	0.0002396838237097	-0.26850513204001
K03739	K00574	0.001370134773394	-0.3643048591136226
K03739	K00588	0.0003870190570648	0.2306902775579673
K03739	K00626	0.0005717635042015	-0.1057066912208593
K03739	K00645	0.0006319408126803	0.3337201263900558
K03739	K00651	0.0091719286141483	0.7198941627628773
K03739	K00658	0.0004879243970634	-0.2561062116201992
K03739	K00666	0.0003656853908517	-0.1824146867108921
K03739	K00688	0.0002705273224045	0.117109070069661
K03739	K00703	0.0007065682889498	0.3401898103721569
K03739	K00705	0.00041771696968	0.1348692080824656
K03739	K00728	0.0033611470372091	-0.957387650375569
K03739	K00754	0.0006017305169073	0.2990074434968786
K03739	K00759	0.0005043038281256	-0.004392573529905
K03739	K00783	0.0003824530722991	0.3247978337630186
K03739	K00784	0.0010121692584044	0.2666235956428189
K03739	K00795	6.661214817810048e-05	-0.2083872046750883
K03739	K00805	0.0001830966461298	0.0233724191936812
K03739	K00821	0.0007436924890849	0.0520341716157215
K03739	K00822	0.0001966813903402	-0.5705759776837402
K03739	K00824	0.0002275150855796	0.1503010012841059
K03739	K00830	0.0004013044412206	-0.2292718123825252
K03739	K00845	0.0005768561145031	0.1149897071780964
K03739	K00848	0.006889506875668	0.6117421504177094
K03739	K00849	0.0020724262568705	0.4557076618273519
K03739	K00850	0.0139218421096388	0.8374782364351195
K03739	K00851	0.0004908763447856	-0.2335037435479516
